chapter,qnum,question,answer
0,1,序章　社是の意義　教育をする側の教室の現状が、被教育側つまり子供たちに恐ろしいほど投影される。まさに「（　　　　）」そのものである。,鏡の原則
0,2,序章　基本理念　『全ては生徒の為に』　（　　　　）の教育者たれ,抜苦与楽
0,3,序章　基本理念　『全ては生徒の為に』　生徒の人生の（　　　　）たれ,応援団
0,4,序章　基本理念　『全ては生徒の為に』　自己研鑽を惜しまぬ（　　　　）な実践者たれ,愚直
0,5,序章　『協育』こそ、教育の原点　私たちの唱える『協育』の協とは、三つの力、すなわち「（　　　　）」と「保護者」と「本人」の力を意味する。,教育者
0,6,序章　『協育』こそ、教育の原点　私たちの唱える『協育』の協とは、三つの力、すなわち「教育者」と「（　　　　）」と「本人」の力を意味する。,保護者
0,7,序章　『協育』こそ、教育の原点　私たちの唱える『協育』の協とは、三つの力、すなわち「教育者」と「保護者」と「（　　　　）」の力を意味する。,本人
0,8,序章　『協育』こそ、教育の原点　本人の向上心を一つの方向に結集したときに「（　　　　）を最大限に発揮」できるのである。,潜在能力
0,9,序章　「教育の麻薬」にかかった瞬間（とき）　生徒に好かれ、（　　　　）されたと感じたとき。,信頼
0,10,序章　「教育の麻薬」にかかった瞬間（とき）　生徒が、自分の（　　　　）によって変化したと感じられたとき。,指導
0,11,序章　「教育の麻薬」にかかった瞬間（とき）　生徒の夢や目標を決める（　　　　）ができたとき。,手助け
0,12,序章　「教育の麻薬」にかかった瞬間（とき）　生徒の個人的な悩みを（　　　　）できたとき。,解決
0,13,序章　「教育の麻薬」にかかった瞬間（とき）　生徒から（　　　　）とされる存在になったとき。,必要
0,14,序章　「教育の麻薬」にかかった瞬間（とき）　生徒の人生に決定的な（　　　　）を与えられたとき。,影響
0,15,序章　「教育の麻薬」にかかった瞬間（とき）　生徒の人生に関わることができ、（　　　　）されたとき。,感謝
0,16,序章　「教育の麻薬」にかかった瞬間（とき）　生徒が（　　　　）を達成（志望校合格等）し、感謝されたとき。,目標
0,17,序章　「教育の麻薬」にかかった瞬間（とき）　生徒が、（　　　　）してからも自分を慕って教室に足を運んでくれたとき。,卒業
0,18,序章　「教育の麻薬」にかかった瞬間（とき）　生徒が、スタッフとして（　　　　）くれたとき。,戻ってきて
0,19,序章　興学教育の現場を支える三つの力　興学社が教育機関として追求する三つの力とはすなわち、（　　　　）力・営業力・イベント力である。,教務
0,20,序章　興学教育の現場を支える三つの力　興学社が教育機関として追求する三つの力とはすなわち、教務力・（　　　　）力・イベント力である。,営業
0,21,序章　興学教育の現場を支える三つの力　興学社が教育機関として追求する三つの力とはすなわち、教務力・営業力・（　　　　）力である。,イベント
0,22,序章　教育の本質とは何か　教育とは（　　　　）である　納得すれば必ず生徒は行動する。,説得力
0,23,序章　教育の本質とは何か　教育とは（　　　　）続けることである　激励によって勇気を与え期待を掛けること。,励まし
0,24,序章　教育の本質とは何か　教育とは（　　　　）である　教育環境を整えることが教育者の役割である。,環境
0,25,序章　教育の本質とは何か　教育とは（　　　　）である　すぐに明快な成果を求めても、それは対症療法的な結果であって、本質的な教育の成果ではない。,忍耐
0,26,序章　教育の本質とは何か　教育とは（　　　　）ものである　教育ほど困難な仕事はない。しかし教育ほど尊い仕事もない。,尊い
0,27,序章　教育の本質とは何か　教育とは（　　　　）が全てである　教育は人によってのみ成されるものであり、どのような優れた技術、仕組みも、それを扱う人の介在なしには機能しない。,人
0,28,序章　教育の本質とは何か　教育とは（　　　　）である　当たり前のことを当たり前にできるようにする、それが教育の第一歩である。,凡事徹底
0,29,序章　教育の本質とは何か　教育とは（　　　　）理論の実践である　メリットをいかに伝えられるか。それを納得させ、行動させられるか。何事にもメリットとデメリットが存在する。,メリット
0,30,序章　教育の本質とは何か　教育とは（　　　　）である　いかに途中経過の努力があっても、良い結果を示すことができなければ、それは教育成果とはならない。,結果
0,31,序章　教育の本質とは何か　教育とは（　　　　）である。愛情に裏打ちされた厳しさこそ、教育者の基本姿勢である。,厳しさ
0,32,序章　組織運営十大基本方針　努力や成果が（　　　　）に報われる組織,公平
0,33,序章　組織運営十大基本方針　（　　　　）が馬鹿を見ない組織,正直者
0,34,序章　組織運営十大基本方針　常に「（　　　　）の斗い」をし続ける組織,プラス1
0,35,序章　組織運営十大基本方針　全員が「教育は（　　　　）」と言える組織,ライフワーク
0,36,序章　組織運営十大基本方針　スタッフ一人ひとりが（　　　　）になれる組織,主役
0,37,序章　組織運営十大基本方針　「（　　　　）が一番」と堂々と言える組織,真面目
0,38,序章　組織運営十大基本方針　常に（　　　　）の原点に『興学思想』を置く組織,行動規範
0,39,序章　組織運営十大基本方針　「（　　　　）はどこにも負けない」と断言できる組織,愛社精神
0,40,序章　組織運営十大基本方針　「（　　　　）を実践し続けることは必然」と言える組織,社会貢献
0,41,序章　組織運営十大基本方針　「（　　　　）の教育機関」を目指すことに最大の価値を置く組織,日本一
1,42,第一章　理念編　興学社十訓　「（　　　　）の知」を自覚せよ。,無知
1,43,第一章　理念編　興学社十訓　青年時代は人生の（　　　　）作りに励め。,基盤
1,44,第一章　理念編　興学社十訓　「学ばずは、（　　　　）」を認識せよ。,卑し
1,45,第一章　理念編　興学社十訓　人に会え、しかも「（　　　　）の人」に会え。,一流
1,46,第一章　理念編　興学社十訓　（　　　　）の気持ちを生涯持続せよ。,感謝
1,47,第一章　理念編　興学社十訓　限りある（　　　　）であることを自覚せよ。,人生
1,48,第一章　理念編　興学社十訓　不（　　　　）を憎み、それと戦え。,完全燃焼
1,49,第一章　理念編　興学社十訓　失敗を恐れるな。（　　　　）するまで戦え、そして学べ。,成功
1,50,第一章　理念編　興学社十訓　人生の幸福は、（　　　　）で決まることを忘れるな。,感動の数
1,51,第一章　理念編　興学社十訓　組織の一員として仕事の（　　　　）を一致させよ。,ベクトル
1,52,第一章　理念編　興学教育五訓　生徒の心の（　　　　）となり、理想の人生へ導く羅針盤たれ。,教科書
1,53,第一章　理念編　興学教育五訓　一人の生徒に全力を尽くすために、（　　　　）で動け。,電光石火
1,54,第一章　理念編　興学教育五訓　志はあくまでも高く、（　　　　）はどこまでも熱く語り続けよ。,夢
1,55,第一章　理念編　興学教育五訓　（　　　　）と不機嫌を排し、愛情表現の豊かな教育者たれ。,傲慢
1,56,第一章　理念編　興学教育五訓　（　　　　）のみが魂を揺さぶることを忘れず、一流の教育者を目指せ。,本物
1,57,第一章　理念編　教育者五訓　プロとしての（　　　　）を持ち続け、気高い品格、人間性の向上に邁進せよ。,プライド
1,58,第一章　理念編　教育者五訓　自分自身の存在価値を常に考え、社会に（　　　　）し、感謝される一流の講師たれ。,貢献
1,59,第一章　理念編　教育者五訓　知識を与えるだけではなく、あふれる愛情をもって（　　　　）と夢を育め。,生きる力
1,60,第一章　理念編　教育者五訓　全ての生徒の（　　　　）を信じ、共に挑戦することを生涯持続せよ。,可能性
1,61,第一章　理念編　教育者五訓　夢を語り、その実現に向けて妥協することなくより高い「（　　　　）」を追い求めよ。,あるべき姿
1,62,第一章　理念編　女性教育者五訓　女ゆえの優しさは大いに生かせ、女ゆえの（　　　　）は恥と思え。,甘え
1,63,第一章　理念編　女性教育者五訓　愛され（　　　　）やすい講師であれ、ただし一目置かれる存在であれ。,親しみ
1,64,第一章　理念編　女性教育者五訓　全てのものに愛情を注げ、時に心を（　　　　）にする勇気を持て。,鬼
1,65,第一章　理念編　女性教育者五訓　「かわいい」女であれ、しかも「（　　　　）」女であれ。,かしこい
1,66,第一章　理念編　女性教育者五訓　謙虚であれ、そして（　　　　）たれ。,毅然
1,67,第一章　理念編　PAGET十カ条　誰からも信頼される超一流の（　　　　）たれ。,裏方
1,68,第一章　理念編　PAGET十カ条　「（　　　　）が量を決定する」ことの検証者たれ。,質より量
1,69,第一章　理念編　PAGET十カ条　いつも陽気で明るく、教室の（　　　　）たれ。,太陽
1,70,第一章　理念編　PAGET十カ条　全てのスタッフを巻き込む（　　　　）たれ。,原動力
1,71,第一章　理念編　PAGET十カ条　好かれるよりも、（　　　　）されるスタッフたれ。,感謝
1,72,第一章　理念編　PAGET十カ条　常にベストの（　　　　）を目指すスタッフたれ。,教室環境
1,73,第一章　理念編　PAGET十カ条　教室の（　　　　）が自分の幸福と思えるスタッフたれ。,発展
1,74,第一章　理念編　PAGET十カ条　「社是・社訓」実践の（　　　　）たれ。,第一人者
1,75,第一章　理念編　PAGET十カ条　教室が掲げる目標達成のための（　　　　）たれ。,中核
1,76,第一章　理念編　PAGET十カ条　地域（　　　　）誇る教室より、地域が誇る教室たれ。,に
1,77,第一章　理念編　PAGET十カ条　地域に誇る教室より、地域（　　　　）誇る教室たれ。,が
1,78,第一章　理念編　国際化時代の教育者五訓　世界に雄飛する（　　　　）のために語学教育のエキスパートたれ。,人財育成
1,79,第一章　理念編　国際化時代の教育者五訓　グローバルな視野と（　　　　）を備え、母国の発展を担う人財たれ。,豊かな感性
1,80,第一章　理念編　国際化時代の教育者五訓　劣悪な教育環境で学ぶ世界の子供たちの真心の（　　　　）たれ。,支援者
1,81,第一章　理念編　国際化時代の教育者五訓　あくまでもより高い（　　　　）を追求する、英智と情熱の教育者たれ。,教育水準
1,82,第一章　理念編　国際化時代の教育者五訓　世界との（　　　　）を可能にする文化交流の使者たれ。,コミュニケーション
1,83,第一章　理念編　学園生十訓　まだ（　　　　）、今すぐ始めよ。,間に合う
1,84,第一章　理念編　学園生十訓　頑張るのは（　　　　）、限界に挑戦せよ。,当たり前
1,85,第一章　理念編　学園生十訓　平凡から非凡へ、（　　　　）の天才たれ。,努力
1,86,第一章　理念編　学園生十訓　（　　　　）は力なり。（　　　　）は己の財なり。,継続
1,87,第一章　理念編　学園生十訓　達成するまで決して（　　　　）。,あきらめるな
1,88,第一章　理念編　学園生十訓　どんなことでも（　　　　）が全て。,やる気
1,89,第一章　理念編　学園生十訓　学習の基本姿勢は「（　　　　）」。,質より量
1,90,第一章　理念編　学園生十訓　人のために（　　　　）姿勢を忘れるな。,尽くす
1,91,第一章　理念編　学園生十訓　敵は己の中にあり。自分の（　　　　）に克て。,弱い心
1,92,第一章　理念編　学園生十訓　努力は人を（　　　　）。,裏切らない
2,93,第二章　人財編　能力開発十一カ条　自分で（　　　　）的にやる姿勢を作ろう。人頼みの姿勢をやめよう。,主体
2,94,第二章　人財編　能力開発十一カ条　いつも進歩発展を目指す姿勢を作ろう。現状に（　　　　）姿勢をやめよう。,甘んずる
2,95,第二章　人財編　能力開発十一カ条　（　　　　）の利益も図る姿勢を作ろう。自分だけよしの姿勢をやめよう。,他人
2,96,第二章　人財編　能力開発十一カ条　（　　　　）点を明らかにし、中心・骨組で考える習慣を作ろう。（　　　　）点が不明確で枝葉末節にとらわれて考える習慣をやめよう。,中心
2,97,第二章　人財編　能力開発十一カ条　（　　　　）で考え、どちらが主流かも考える習慣を作ろう。片面で考え、非主流にとらわれて考える習慣をやめよう。,両面
2,98,第二章　人財編　能力開発十一カ条　立場・観点を整理し、（　　　　）から考える習慣を作ろう。立場を無視し、一方的角度からしか考えない習慣をやめよう。,多角度
2,99,第二章　人財編　能力開発十一カ条　（　　　　）的要素から出発して考える習慣を作ろう。不確定な要素に振り回される習慣をやめよう。,確定
2,100,第二章　人財編　能力開発十一カ条　手と口と足をフルに使った、行動のつながりで考える習慣を作ろう。概念のつながりだけで（　　　　）的に考える習慣をやめよう。,抽象
2,101,第二章　人財編　能力開発十一カ条　知識はすぐに使う習慣を作ろう。（　　　　）のままで孤立させておく習慣をやめよう。,ペーパー知識
2,102,第二章　人財編　能力開発十一カ条　できるだけ多くの物事に介入する習慣を作ろう。なるべく余計なことに（　　　　）を持つまいとする習慣をやめよう。,関心
2,103,第二章　人財編　能力開発十一カ条　できるだけ多くの人に会う習慣を作ろう。（　　　　）の人と付き合うだけで、交際範囲を広げまいとする習慣をやめよう。,少数
2,104,第二章　人財編　方法発見能力　方法発見能力の基本は、まず「（　　　　）」とか「無理だ」という言葉を自分の禁句とすることである。,できない
2,105,第二章　人財編　方法発見能力　「できない」と思うときは、従来のルール・慣習・方法を捨てて「（　　　　）方法」を探すことが必要である。,今までと違う
2,106,第二章　人財編　方法発見能力　今すぐにはできないならば、まず今すぐ（　　　　）を決めて、そこから手を付け、あとは粘りに粘って少しずつ積み上げていくことが最重要である。,できる範囲
2,107,第二章　人財編　方法発見能力　（　　　　）ではできないならば、では一体、誰の力、誰の知恵を借りたらいいかを真剣に考えることだ。,自分一人
2,108,第二章　人財編　方法発見能力　上手い方法のヒントは日常生活の中にある。一見無縁の現象の（　　　　）を見抜いて、そこから連鎖反応させる能力が必要である。,本質
2,109,第二章　人財編　方法発見能力　仕事のできる人とは、「（　　　　）を使う人」である。つまり、知恵を遠慮なく借りることができる人である。,人の知恵
2,110,第二章　人財編　方法発見能力　積極的に人の知恵を集めること、人の話を真剣に「（　　　　）」こと、もらった知恵の結果は必ず事後報告すること、この３項目が重要である。,聴く
2,111,第二章　人財編　方法発見能力　（　　　　）というものは苦し紛れに出るものではない。頭の底にこびり付き、いつも思い出す宿題を持っていなければ（　　　　）は生まれない。,知恵
2,112,第二章　人財編　方法発見能力　方法発見能力を高めようと思ったら、（　　　　）抜け。,困って困って困り
2,113,第二章　人財編　方法発見能力　自分が困るに足りる荷物（目標）を自分に負わせることが必要。目標（　　　　）力が弱いと、必然的に方法発見能力に欠陥が出るものである。,指向
2,114,第二章　人財編　人を説得する十二原則　相手を完全に打ち負かすような（　　　　）を避ける。,議論
2,115,第二章　人財編　人を説得する十二原則　相手の意見に敬意を払い、（　　　　）を指摘しない。,誤り
2,116,第二章　人財編　人を説得する十二原則　自分の（　　　　）を直ちに快く認める。,誤り
2,117,第二章　人財編　人を説得する十二原則　（　　　　）に話す。,穏やか
2,118,第二章　人財編　人を説得する十二原則　相手が即座に「（　　　　）」と答えられる問題を選ぶ。,イエス
2,119,第二章　人財編　人を説得する十二原則　相手に（　　　　）せる。,話さ
2,120,第二章　人財編　人を説得する十二原則　相手に（　　　　）付かせる。,思い
2,121,第二章　人財編　人を説得する十二原則　相手の（　　　　）で考える。,立場
2,122,第二章　人財編　人を説得する十二原則　相手の考えや希望に（　　　　）する。,共感
2,123,第二章　人財編　人を説得する十二原則　相手の美しい（　　　　）に呼び掛ける。,心情
2,124,第二章　人財編　人を説得する十二原則　（　　　　）を考える。,演出
2,125,第二章　人財編　人を説得する十二原則　（　　　　）を刺激する。,対抗意識
2,126,第二章　人財編　人に好かれる六原則　（　　　　）な関心を寄せる。,誠実
2,127,第二章　人財編　人に好かれる六原則　明るい（　　　　）を忘れない。,笑顔
2,128,第二章　人財編　人に好かれる六原則　正確に（　　　　）を覚える。,名前
2,129,第二章　人財編　人に好かれる六原則　（　　　　）に回る。,聞き手
2,130,第二章　人財編　人に好かれる六原則　（　　　　）の在りかを見抜く。,関心
2,131,第二章　人財編　人に好かれる六原則　（　　　　）から褒める。,心
2,132,第二章　人財編　成功への五カ条　明確な（　　　　）を持て…目標なくして成功なし。,目標
2,133,第二章　人財編　成功への五カ条　人より（　　　　）先んじよ…スピードが肝心、先手必勝。,一歩
2,134,第二章　人財編　成功への五カ条　積極的に（　　　　）に学べ…人の知恵は、宝の山と知れ。,人
2,135,第二章　人財編　成功への五カ条　最後まで（　　　　）…成功の条件とは成功するまで続けること。,あきらめるな
2,136,第二章　人財編　成功への五カ条　（　　　　）を真似よ…そこに成功の秘訣が詰まっている。,成功事例
2,137,第二章　人財編　伸びる教室の法則　［法則1］伸びる教室の教室長は、（　　　　）だけでなく、各論も話す。,総論
2,138,第二章　人財編　伸びる教室の法則　［法則2］伸びる教室は、（　　　　）な後継者が育っている。,優秀
2,139,第二章　人財編　伸びる教室の法則　［法則3］伸びる教室の空気は華やぎ、停滞する教室の空気は（　　　　）いる。,澱んで
2,140,第二章　人財編　伸びる教室の法則　［法則4］伸びる教室の教室長は、自ら（　　　　）している。,情報公開
2,141,第二章　人財編　伸びる教室の法則　［法則5］伸びる教室は、（　　　　）がスタッフに浸透している。,ビジョン
2,142,第二章　人財編　伸びる教室の法則　［法則6］伸びる教室は、スタッフが（　　　　）を感じて、誇りを持っている。,社会的意義
2,143,第二章　人財編　伸びる教室の法則　［法則7］伸びる教室は、（　　　　）が優れている。,管理体制
2,144,第二章　人財編　伸びる教室の法則　［法則8］伸びる教室は、（　　　　）を最大限に生かし、徹底的に高めている。,強み
2,145,第二章　人財編　伸びる教室の法則　［法則9］伸びる教室は、（　　　　）のことを納得できるまで追究する。,当たり前
2,146,第二章　人財編　伸びる教室の法則　［法則10］伸びる教室は、微かな（　　　　）にも気付いている。,兆し
2,147,第二章　人財編　伸びる教室の法則　［法則11］伸びる教室は、（　　　　）の低い教室が早晩衰退することを知っている。,モラル
2,148,第二章　人財編　自分の弱さに打ち勝つ十六カ条　変われないのではない、（　　　　）がないだけだ。,変わる気
2,149,第二章　人財編　自分の弱さに打ち勝つ十六カ条　できないのではない、（　　　　）だけだ。,やらない
2,150,第二章　人財編　自分の弱さに打ち勝つ十六カ条　環境が悪いのではない、あなたが（　　　　）なだけだ。,ダメ
2,151,第二章　人財編　自分の弱さに打ち勝つ十六カ条　上手くいかないのではない、上手くいく方法を（　　　　）していないだけだ。,実践
2,152,第二章　人財編　自分の弱さに打ち勝つ十六カ条　成果が出ないのではない、（　　　　）いないだけだ。,出して
2,153,第二章　人財編　自分の弱さに打ち勝つ十六カ条　行動力がないのではない、（　　　　）やらないだけだ。,すぐに
2,154,第二章　人財編　自分の弱さに打ち勝つ十六カ条　意欲がないのではない、（　　　　）やロマンがないだけだ。,夢
2,155,第二章　人財編　自分の弱さに打ち勝つ十六カ条　給与が（　　　　）のではない、（　　　　）仕事しかしていないだけだ。,安い
2,156,第二章　人財編　自分の弱さに打ち勝つ十六カ条　仕事がつまらないのではない、（　　　　）していないだけだ。,面白く
2,157,第二章　人財編　自分の弱さに打ち勝つ十六カ条　人が力を貸してくれないのではない、人を（　　　　）できていないだけだ。,活用
2,158,第二章　人財編　自分の弱さに打ち勝つ十六カ条　目標が達成できないのではない、（　　　　）がないだけだ。,戦略
2,159,第二章　人財編　自分の弱さに打ち勝つ十六カ条　部下がついて来ないのではない、あなたに（　　　　）がないだけだ。,魅力
2,160,第二章　人財編　自分の弱さに打ち勝つ十六カ条　戦略がないのではない、（　　　　）していないだけだ。,研究
2,161,第二章　人財編　自分の弱さに打ち勝つ十六カ条　仕事に追われているのではない、（　　　　）を決めていないだけだ。,期限
2,162,第二章　人財編　自分の弱さに打ち勝つ十六カ条　知恵がないのではない、生み出す（　　　　）をしていないだけだ。,工夫
2,163,第二章　人財編　自分の弱さに打ち勝つ十六カ条　自分は弱いのではない、強くする（　　　　）をしていないだけだ。,努力
2,164,第二章　人財編　箴言集（一）　仕事が楽しみならば、人生は楽園だ。仕事が義務ならば、人生は（　　　　）だ。,地獄
2,165,第二章　人財編　箴言集（一）　苦しまずに努力できる、それが（　　　　）。,才能
2,166,第二章　人財編　箴言集（一）　ピンチは最大のチャンスである。そのときこそ、本当の（　　　　）がわかる。,人間性
2,167,第二章　人財編　箴言集（一）　この世で一番公平なのは「（　　　　）」である。それをどう使うかで人生は決まる。,時間
2,168,第二章　人財編　箴言集（一）　腹が立ったら（　　　　）たってからものを言う。,1時間
2,169,第二章　人財編　箴言集（一）　不平・不満・愚痴をこぼすことは自らを（　　　　）、人間性を低下させる。,卑しめ
2,170,第二章　人財編　箴言集（一）　感謝と（　　　　）の気持ちが、その人の人格を作る。,喜び
2,171,第二章　人財編　箴言集（一）　「（　　　　）」と考える習慣を持つ人間でないと成長はない。,なぜだろう
2,172,第二章　人財編　箴言集（一）　人間は断じて許してはいけないことを簡単に（　　　　）、反対に大らかに許すべきことを目くじらを立てて許さない妙な習性がある。,許し
2,173,第二章　人財編　箴言集（一）　すぐに仕事に取り掛からず、その前にどこに問題があるのか、その問題の（　　　　）は何なのかを、見極めてから着手することが大切。,本質
2,174,第二章　人財編　箴言集（一）　奪い合えば共に倒れるが、（　　　　）合えば共に栄えていく。,分かち
2,175,第二章　人財編　箴言集（一）　仕事とは先手、先手に働き掛けていくもので、（　　　　）でやるべきものではない。,受け身
2,176,第二章　人財編　箴言集（一）　欠点は自分で意識しないと絶対に克服できるものではない。「直る」のではなく、「（　　　　）」のである。,直す
2,177,第二章　人財編　箴言集（一）　素質は一流でも（　　　　）が二流では伸びない。逆に、素質は二流でも（　　　　）が一流であれば一流になれる。,思想
2,178,第二章　人財編　箴言集（一）　喜びは（　　　　）だ。使命感と感謝は力強いバネだ。,勢い
2,179,第二章　人財編　箴言集（一）　人間はどれだけ知っているかではなく、何が（　　　　）で値打ちが決まる。,できるか
2,180,第二章　人財編　箴言集（一）　（　　　　）は、必ず仕事に表れるものだ。,人間性
2,181,第二章　人財編　箴言集（一）　人間にも「旬」があり、「（　　　　）」がある。常に自分を変えていけ。,賞味期限
2,182,第二章　人財編　箴言集（一）　成長は（　　　　）との比較ではない。昨日より今日！今日より明日！それは自分自身との勝負。,他人
2,183,第二章　人財編　箴言集（一）　「やらなければよかった」という後悔より、「（　　　　）よかった」という後悔の方が大きい。,やっておけば
2,184,第二章　人財編　箴言集（一）　（　　　　）で（　　　　）の邪魔をしている人になるな。それは「できない」のではなく「したくない」のである。,自分
2,185,第二章　人財編　箴言集（一）　「これでいい」ではなく、「（　　　　）」という選択を繰り返すことが人を人財へと導くものだ。,これがいい
2,186,第二章　人財編　箴言集（一）　「可もなく不可もなく」は結果的には不可！中途半端を排せ。同じ生きるなら善き（　　　　）を残せ。,歴史
2,187,第二章　人財編　箴言集（一）　問題が生じたら、まず（　　　　）点を探せ。,変化
2,188,第二章　人財編　箴言集（一）　目標を忘れたときに空転が始まる。今日の目標を明確にし、（　　　　）ある日々を！,価値
2,189,第二章　人財編　箴言集（一）　プロの仕事とは、シンプルであること、約束を守ること、（　　　　）をしないこと。この三つが全て。,手抜き
2,190,第二章　人財編　箴言集（一）　成功は次の成功の呼び水。（　　　　）は次の成功の足掛かり。,失敗
2,191,第二章　人財編　箴言集（一）　（　　　　）を遠ざける者は、成功をも遠ざける。（　　　　）を恐れるな。,失敗
2,192,第二章　人財編　箴言集（一）　素直な（　　　　）が失敗を成功の糧にする。反省することを厭わない人は必ず成長していくものだ。,自省心
2,193,第二章　人財編　箴言集（一）　失敗例はノウハウの（　　　　）である。成功を忘れ、失敗から学ぶ謙虚な姿勢が成長のエネルギーとなる。,宝庫
2,194,第二章　人財編　箴言集（二）　知恵のない者は、（　　　　）のない花のようなものだ。,香り
2,195,第二章　人財編　箴言集（二）　本当の贅沢な生き方とは何か。それは「良い（　　　　）」を持つという生き方だ。,人間関係
2,196,第二章　人財編　箴言集（二）　不平をこぼす人間には、同情よりも（　　　　）が待っている。,軽蔑
2,197,第二章　人財編　箴言集（二）　明日への最善の準備は、今日（　　　　）をやり遂げることだ。,良い仕事
2,198,第二章　人財編　箴言集（二）　（　　　　）仕事を完成できない者は、一生涯大きな仕事はできない。,小さな
2,199,第二章　人財編　箴言集（二）　人は才能だけではない。（　　　　）な者が日々努力し、やがて本物になっていく。,平凡
2,200,第二章　人財編　箴言集（二）　短気は人をトラブルに巻き込み、（　　　　）は人をトラブルから抜け出せなくする。,思い上がり
2,201,第二章　人財編　箴言集（二）　（　　　　）は、するは易しく、聞くは腹立たしい。,言い訳
2,202,第二章　人財編　箴言集（二）　陽の当たるところに行こうとするな、（　　　　）ところを陽の当たるところにせよ。,行った
2,203,第二章　人財編　箴言集（二）　人間の意識を劇的に変えていくものは（　　　　）。心に感じることによって人間は初めて動く。,感動
2,204,第二章　人財編　創造性への五カ条　（　　　　）にとらわれるな、澄みきった目で物事を見よ。,しがらみ
2,205,第二章　人財編　創造性への五カ条　（　　　　）にのめり込むな、（　　　　）から学ぶことは必要だが自分を失ってはいけない。,権威
2,206,第二章　人財編　創造性への五カ条　無用なものは捨てよ、自分の（　　　　）を常に広くしておくことだ。,メモリースペース
2,207,第二章　人財編　創造性への五カ条　（　　　　）ことを避けるな、自分を主張し続けよ。,戦う
2,208,第二章　人財編　創造性への五カ条　初々しい（　　　　）を失うな、その（　　　　）が偉業を成す。,感性
2,209,第二章　人財編　伸びる人財七要件　率先（　　　　）人より先に、そして言われる前に動く。,垂範
2,210,第二章　人財編　伸びる人財七要件　（　　　　）態度　素直、真面目は成長のもと。,精神
2,211,第二章　人財編　伸びる人財七要件　（　　　　）力　いい加減な処理、曖昧な対応は敗北のもと。,巧緻
2,212,第二章　人財編　伸びる人財七要件　（　　　　）志向　一流の人、一流のものに常に触れる。,本物
2,213,第二章　人財編　伸びる人財七要件　（　　　　）志向　志を常に高く、夢を追い続ける。,上昇
2,214,第二章　人財編　伸びる人財七要件　（　　　　）発想　常識にとらわれず、本質を見抜く。,逆転
2,215,第二章　人財編　伸びる人財七要件　（　　　　）力　飽きずに続けられることは能力であり、才能である。,継続
2,216,第二章　人財編　学生時代に時間講師を体験できる意義　生徒という最も難しい「顧客」に（　　　　）をする訓練ができる。,動機付け
2,217,第二章　人財編　学生時代に時間講師を体験できる意義　スタッフや生徒との（　　　　）能力を高める訓練ができる。,コミュニケーション
2,218,第二章　人財編　学生時代に時間講師を体験できる意義　社会人になったときに必要とされる（　　　　）を身に付ける訓練ができる。,営業力
2,219,第二章　人財編　学生時代に時間講師を体験できる意義　イベントを通じて（　　　　）能力を高める訓練ができる。,プレゼンテーション
2,220,第二章　人財編　学生時代に時間講師を体験できる意義　生徒や保護者といった「顧客」との（　　　　）関係を築く訓練ができる。,信頼
2,221,第二章　人財編　学生時代に時間講師を体験できる意義　各種研修会を通じて早期の（　　　　）訓練ができる。,社会人
2,222,第二章　人財編　学生時代に時間講師を体験できる意義　ビジネスとしての教育産業の当事者になることによって、ビジネス（　　　　）を磨くことができる。,センス
